TOPIC,WORD,MEANING,SENTENCE
254. Serious / confound,PENSIVE,appearing serious or thoughtful.," She was in a PENSIVE mood, just wanting to be alone to think."
255. Spoil / disfigure,DEFACE,spoil or disfigure., They were charged with defacing public property.
255. Spoil / disfigure,DISFIGURE,spoil the appearance of something., Their faces are DISFIGUREd by severe burn scars.
255. Spoil / disfigure,DISTORT,twist something out of shape., The loudspeaker seemed to DISTORT his voice.
255. Spoil / disfigure,MAR,spoil., The elections were MARred by violence.
255. Spoil / disfigure,WARP,make or become twisted or bent out of its natural shape., The window frames had begun to WARP.
256. Spotted / stained,BLEMISH,a spot or stain., His reputation is without a BLEMISH.
256. Spotted / stained,BLOTCH,a spot or stain., His face was covered with dark red BLOTCHes.
256. Spotted / stained,DEBASE,"to lower in quality, character, or value.", He wouldn't DEBASE himself by doing manual labor.
256. Spotted / stained,MACULATE,mark with spots., The whole surface was MACULATEd with black circles.
256. Spotted / stained,SULLY,"spoil, stain or make something impure.", I would not SULLY her reputation with that piece of gossip.
256. Spotted / stained,TAINTED,"spoil, stain or make something impure.", Opposition leaders said that the elections had been TAINTED by corruption.
256. Spotted / stained,TARNISH,"spoil, stain or make something impure.", The mirrors had TARNISHed with age.
257. Stupid / foolish,ASININE,foolish., It is surprising that supposedly intelligent people can make such ASININE statements.
257. Stupid / foolish,DOLT,a foolish person.," I gave him the keys, but that DOLT locked them in the car."
257. Stupid / foolish,FATUOUS,foolish., She is far too intelligent to utter such FATUOUS remarks.
257. Stupid / foolish,IMBECILE,foolish., They behaved like IMBECILE students.
257. Stupid / foolish,INANE,foolish., I have never heard anything as INANE as what ust came out of your mouth.
257. Stupid / foolish,OAF,"a clumsy, stupid person."," He stood there, grinning like an OAF."
257. Stupid / foolish,OBTUSE,foolish., The OBTUSE udge presided over the hearing.
258. Tempt / plot / trick,ALLURE,to attract or tempt., The romantic young man ALLUREd the beautiful woman by preparing a wonderfuldinner.
258. Tempt / plot / trick,BEGUILE,to trick someone., She has used her daughter's identity to BEGUILE the two men.
258. Tempt / plot / trick,COLLUDE,plan together secretly to harm., Several people had COLLUDEd in the murder.
258. Tempt / plot / trick,CONNIVE,plan together secretly to harm., The government was accused of having CONNIVEd with the security forces to permitmurder.
258. Tempt / plot / trick,CONSPIRE,plan together secretly to harm., They were accused of conspiring against the government.
258. Tempt / plot / trick,ENTICE,to tempt., Some stores slashed prices by up to 80 % to ENTICE shoppers.
258. Tempt / plot / trick,INVEIGLE,to tempt., The babysitter tried to INVEIGLE the kids into going to bed.
258. Tempt / plot / trick,LURE,to tempt., The romantic young man LUREd the beautiful woman by preparing a wonderful dinner.
258. Tempt / plot / trick,MACHINATION,a cunning plan., I don't want to get involved in all his MACHINATIONs.
258. Tempt / plot / trick,PLOY, a clever plan., This is a a clever marketing PLOY.
258. Tempt / plot / trick,RUSE,a cunning plan or trick., She tried to think of a RUSE to get him out of the house.
258. Tempt / plot / trick,SCHEME,a cunning plan., This is an elaborate SCHEME to avoid taxes.
258. Tempt / plot / trick,TACTIC,a clever plan., Football teams have to use strong defensive TACTICs to keep the other guys fromscoring.
259. To know,COGNIZANT,aware., He was COGNIZANT of the difficulty involved in the project.
259. To know,X OBLIVIOUS,unaware., She was oblivious of his admiration for her.To see
259. To know,BEHOLD,to see.," BEHOLD breathtaking mountain views, while relaxing in a luxurious guestroom."
259. To know,DISCERN,to see or recognize., It is possible to DISCERN a number of different techniques in her work.
259. To know,ESPY,to see., To ESPY a ship from the shore.
259. To know,PERCEIVE,to recognize., I PERCEIVEd a change in his behavior.
260. Unmatched / unique,INIMITABLE,can't be copied ; unmatched., John related in his own INIMITABLE way the story of his trip to Tibet.
260. Unmatched / unique,PEERLESS,matchless ; having no equals.," People such as Picasso, Gandhi and Shakespeare are considered PEERLESS."
261. Weak /thin/ tall,EMACIATE,grow weak and thin., His long period of starvation had left him EMACIATEd.
261. Weak /thin/ tall,GAUNT,thin and weak.," The girl was very GAUNT, but very intelligent."
261. Weak /thin/ tall,LANKY,ungracefully thin and tall., The LANKY actor with unruly hair had a boyish grin and an engaging manner.
262. Remove / destroy,ANNIHILATE,destroy completely., The human race has enough weapons to ANNIHILATE itself.
262. Remove / destroy,CARNAGE,mass killing.," Property may be destroyed, but human CARNAGE is averted."
262. Remove / destroy,DECIMATE,destroy greatly., The rabbit population was DECIMATEd by the disease.
262. Remove / destroy,EFFACE,remove completely., She tried her best to EFFACE the memory of the accident.
262. Remove / destroy,ERADICATE,remove or destroy., Diphtheria has been virtually ERADICATEd in the United States.
262. Remove / destroy,EXPUNGE,remove or destroy., Details of his criminal activities were EXPUNGEd from the file.
262. Remove / destroy,EXTERMINATE,destroy greatly., Fur seals were nearly EXTERMINATEd a few years ago.
262. Remove / destroy,FUMIGATE,to treat (something infected) with fumes., The whole house was FUMIGATEd to get rid of the cockroaches.
262. Remove / destroy,OBLITERATE,destroy completely., Everything that happened that night was OBLITERATEd from his memory.
262. Remove / destroy,PERISH,to die or be destroyed., Thousands PERISHed at the hands of the invading forces.
262. Remove / destroy,X INDELIBLE,can not be removed., Her unhappy childhood left an indelible mark on her personality.
263. Small,DIMINUTIVE,small., Never use a big word when a DIMINUTIVE one would suffice.
263. Small,INFINITESIMAL,very small., His statement has INFINITESIMAL amount of truth.
263. Small,MICROCOSM,a miniature representation of something., The family is a MICROCOSM of society.
263. Small,MINUSCULE,very small., What may seem like a miniscule gain can affect medal standings.
263. Small,SLIGHT,very small or less., I woke up with a SLIGHT headache.
264. Support/ strengthen,ANCILLARY,"provide necessary support to the primary activities of an organisation, system etc", The second paragraph was merely ancillary to the article's claim
264. Support/ strengthen,BASTION,"a thing or person upholding or defending an attitude, principle, etc.,", Hollywood has long been considered a BASTION of liberal activism.
264. Support/ strengthen,BOLSTER,strengthen., New numbers BOLSTER the claim that records became a lot more popular last year.
264. Support/ strengthen,BUTTRESS,strengthen or support.," To BUTTRESS his defense, he produced several testimonials."
264. Support/ strengthen,FORTIFY,strengthen., They fortified the area against attack.
264. Support/ strengthen,PROP,support or strengthen., These are measures to PROP up an unpopular government.
265. Sympathy,COMPASSION,"kindness, care, sympathy."," She was known as a hard woman with no COMPASSION, no emotion."
265. Sympathy,EMPATHY,the ability to understand another's feelings., His utter lack of EMPATHY prevents him from forming healthy relationships.
265. Sympathy,HUMANE,kind and compassionate., This is a caring and HUMANE society.
265. Sympathy,X CALLOUS,"insensitive, cruel or harsh.", He had worked in the hospital for so long that he was callous to the suffering in thewards.
266. Tack care,FOSTER,encourage or promote the development of something., The clubs aim is to FOSTER better relations within the community.
266. Tack care,NURTURE,encourage or promote the development of something., These delicate plants need careful nurturing.
266. Tack care,SURROGATE,a person or thing acting as a substitute.," She adopted our a child, becoming a SURROGATE mom to him."
267. Without evidence,HYPOTHETICAL,based on a hypothesis., Thank you for answering my HYPOTHETICAL question.
267. Without evidence,SPECULATE,to guess without knowing the complete facts., We all SPECULATEd about the reasons for her resignation.
267. Without evidence,X EMPERICAL,based on observation or experience., There is enormous empirical evidence for the law of diminishing returns.
268. Thin /transparent,FLIMSY,light and thin., The removable plastic backing that protects the phone's innards is thin and FLIMSY.
268. Thin /transparent,FRAIL,physically weak and delicate., His mother was becoming too FRAIL to live alone.
268. Thin /transparent,INTANGIBLE,can not be touched., The old building had an INTANGIBLE air of sadness about it.
268. Thin /transparent,TENUOUS,"thin, light and weak.", Even the presence of a TENUOUS atmosphere had only been discovered two yearsprior.
268. Thin /transparent,X PALPABLE,can be touched or felt., Your heartbeat is palpable.
268. Thin /transparent,X SUBSTANTIAL,"large in size, number or amount.", He ate a substantial breakfast.
268. Thin /transparent,X TACTILE,can be touched or felt., Different textures of food are tactile  they feel different in your mouth.
269. To be reluctant,BALK,to resist doing something., Many parents may BALK at the idea of paying $100 for a pair of shoes.
269. To be reluctant,GRUDGING,do something reluctantly., The GRUDGING acceptance of his opponent's victory.
269. To be reluctant,X ALACRITY,showing cheerful willingness to do something., He demonstrated his eagerness to serve by his alacrity in executing the orders of hismaster.
269. To be reluctant,X OBLIGING,showing a cheerful willingness to do favors., The obliging waiter was in no hurry for us to leave.
270. To guess/ infer,CONJECTURE,to guess., The truth of his CONJECTURE was confirmed by the newspaper report.
270. To guess/ infer,CONSTRUE,to infer., He CONSTRUEd her intentions from her gestures.
270. To guess/ infer,DEDUCE,to derive as a conclusion., We can DEDUCE a lot from what people choose to buy.
270. To guess/ infer,EXTRAPOLATE,to infer., The figures were obtained by extrapolating from past trends.
270. To guess/ infer,SURMISE,to guess., I SURMISE this is needed to complete your homework.
271. Understand,APPREHEND,to understand., He was slow to APPREHEND the details.
271. Understand,ASSIMILATE,to understand., The committee will need time to ASSIMILATE this report.
271. Understand,COMPREHEND,to understand., I can't COMPREHEND why these meetings are held in secret.
